location_id,timestamp,precipitation_rate_mm_hr,pore_pressure_kpa,subsurface_displacement_mm,ground_acceleration_g,realtime_water_table_m,cumulative_precip_72hr,cumulative_precip_168hr,ucs_mpa,seismic_zone,pga_g,initial_water_table_m,rockfall_event,3d_surface_coord_x,3d_surface_coord_y,3d_surface_coord_z
Zone_B,2025-09-16 11:37:12.259652,5.075,2442.6618,811.8377,0.0001,248.9971,566.3685,1349.3303,97.1,IV,0.48,21.4,0,974.2052,933.6133,1055.389
Zone_B,2025-06-02 04:37:12.259652,5.3729,712.8873,65.3841,0.0051,72.6694,305.2059,441.7212,97.1,IV,0.48,21.4,0,78.4609,75.1917,84.9993
Zone_D,2025-09-02 12:37:12.259652,10.4427,2329.1276,701.9403,0.0003,237.4238,602.9353,1248.3132,158.4,II,0.22,18.0,0,842.3284,807.2314,912.5224
Zone_B,2025-06-19 14:37:12.259652,5.0616,2238.2459,157.1405,0.0006,228.1596,570.6632,1323.48,97.1,IV,0.48,21.4,0,188.5686,180.7116,204.2827
Zone_B,2025-06-16 10:37:12.259652,5.3641,2162.613,136.4652,0.0037,220.4498,530.273,1398.302,97.1,IV,0.48,21.4,0,163.7583,156.935,177.4048
Zone_A,2025-09-30 18:37:12.259652,3.3202,2467.0403,900.8868,0.0014,251.4822,629.8106,1341.3567,90.4,IV,0.49,25.0,0,1081.0641,1036.0198,1171.1528
Zone_B,2025-07-13 09:37:12.259652,4.9325,2444.3821,329.5321,0.0012,249.1725,607.795,1335.3379,97.1,IV,0.48,21.4,0,395.4386,378.962,428.3918
Zone_D,2025-05-24 09:37:12.259652,0.0,427.3519,53.8858,0.0055,43.5629,108.6805,244.8884,158.4,II,0.22,18.0,0,64.663,61.9687,70.0516
Zone_B,2025-05-20 12:37:12.259652,0.0,422.716,48.5261,0.0038,43.0903,94.2956,253.073,97.1,IV,0.48,21.4,0,58.2313,55.805,63.0839
Zone_D,2025-09-21 08:37:12.259652,7.7442,2356.5352,832.6558,0.0077,240.2177,586.7894,1347.3185,158.4,II,0.22,18.0,0,999.187,957.5542,1082.4525
Zone_B,2025-04-19 14:37:12.259652,2.5786,357.1221,10.1889,0.0002,36.4039,96.8119,215.0788,97.1,IV,0.48,21.4,0,12.2267,11.7173,13.2456
Zone_D,2025-09-01 10:37:12.259652,1.993,2281.6304,694.4571,0.0025,232.5821,536.9289,1218.996,158.4,II,0.22,18.0,0,833.3485,798.6257,902.7942
Zone_B,2025-05-12 01:37:12.259652,0.6807,407.4206,37.4975,0.0216,41.5312,100.7325,228.2484,97.1,IV,0.48,21.4,0,44.997,43.1221,48.7468
Zone_D,2025-05-21 01:37:12.259652,4.6363,428.3419,49.6079,0.0009,43.6638,110.5795,249.9221,158.4,II,0.22,18.0,0,59.5295,57.0491,64.4902
Zone_A,2025-05-25 01:37:12.259652,0.0,415.9151,53.4773,0.0005,42.3971,96.0042,235.4674,90.4,IV,0.49,25.0,0,64.1728,61.4989,69.5205
Zone_C,2025-06-22 23:37:12.259652,10.0165,2251.1587,176.9803,0.0117,229.4759,549.6814,1311.5497,123.0,II,0.19,15.8,0,212.3763,203.5273,230.0744
Zone_D,2025-05-22 18:37:12.259652,0.553,423.4952,51.7676,0.0018,43.1697,98.0453,250.4126,158.4,II,0.22,18.0,0,62.1211,59.5327,67.2978
Zone_D,2025-06-23 05:37:12.259652,5.0576,2330.0655,180.5979,0.0184,237.5194,589.4952,1430.2494,158.4,II,0.22,18.0,0,216.7174,207.6875,234.7772
Zone_C,2025-05-15 04:37:12.259652,6.2739,409.4413,38.0792,0.0095,41.7371,112.2866,253.9871,123.0,II,0.19,15.8,0,45.695,43.7911,49.503
Zone_B,2025-07-21 14:37:12.259652,4.1333,2473.1688,390.4147,0.0019,252.1069,612.6632,1383.3571,97.1,IV,0.48,21.4,0,468.4977,448.9769,507.5392
Zone_D,2025-04-29 01:37:12.259652,2.797,432.5582,20.9872,0.0007,44.0936,116.5578,273.8533,158.4,II,0.22,18.0,0,25.1847,24.1353,27.2834
Zone_A,2025-07-17 11:37:12.259652,17.359,2505.8743,350.3272,0.0014,255.4408,603.6484,1431.8706,90.4,IV,0.49,25.0,0,420.3927,402.8763,455.4254
Zone_C,2025-08-20 02:37:12.259652,12.6179,2563.9628,598.142,0.0003,261.3622,654.8718,1454.1412,123.0,II,0.19,15.8,0,717.7704,687.8633,777.5846
Zone_D,2025-07-02 19:37:12.259652,8.0382,2442.5647,249.5588,0.0,248.9872,615.8477,1346.076,158.4,II,0.22,18.0,0,299.4706,286.9927,324.4265
Zone_C,2025-09-23 10:37:12.259652,18.6759,2459.5208,851.5198,0.0036,250.7157,623.2606,1382.1999,123.0,II,0.19,15.8,0,1021.8238,979.2478,1106.9758
Zone_A,2025-06-05 00:37:12.259652,9.2884,1171.7787,72.0895,0.0109,119.4474,565.3067,879.5781,90.4,IV,0.49,25.0,0,86.5074,82.9029,93.7164
Zone_B,2025-09-11 16:37:12.259652,24.171,2390.4404,776.5242,0.0143,243.6738,507.6904,1293.4671,97.1,IV,0.48,21.4,0,931.8291,893.0029,1009.4815
Zone_D,2025-05-14 11:37:12.259652,2.5924,411.402,41.2676,0.0006,41.937,100.2579,216.4108,158.4,II,0.22,18.0,0,49.5211,47.4577,53.6479
Zone_B,2025-07-10 17:37:12.259652,2.3821,2376.9987,310.0474,0.007,242.3036,506.0273,1332.4168,97.1,IV,0.48,21.4,0,372.0569,356.5545,403.0616
Zone_C,2025-08-22 07:37:12.259652,2.0516,2568.0934,615.0937,0.0009,261.7832,656.9459,1464.3093,123.0,II,0.19,15.8,0,738.1124,707.3578,799.6218
Zone_C,2025-05-03 06:37:12.259652,3.2815,389.0472,24.3992,0.0006,39.6582,96.7977,236.4016,123.0,II,0.19,15.8,0,29.2791,28.0591,31.719
Zone_C,2025-04-25 04:37:12.259652,0.57,346.2662,15.2511,0.0053,35.2973,70.3432,201.9484,123.0,II,0.19,15.8,0,18.3013,17.5388,19.8265
Zone_C,2025-04-30 12:37:12.259652,0.0,374.7503,21.2766,0.0,38.2008,95.9841,206.8774,123.0,II,0.19,15.8,0,25.532,24.4681,27.6596
Zone_C,2025-06-24 11:37:12.259652,8.9845,2243.9365,187.1059,0.0123,228.7397,535.2259,1264.0455,123.0,II,0.19,15.8,0,224.5271,215.1718,243.2377
Zone_B,2025-05-11 03:37:12.259652,0.9147,409.7752,36.3439,0.0077,41.7712,101.9134,226.3976,97.1,IV,0.48,21.4,0,43.6127,41.7955,47.2471
Zone_D,2025-04-14 08:37:12.259652,2.218,311.4817,4.5428,0.0054,31.7514,105.2224,207.7416,158.4,II,0.22,18.0,0,5.4513,5.2242,5.9056
Zone_B,2025-07-27 16:37:12.259652,15.3557,2422.1934,434.513,0.006,246.9106,597.5759,1289.7641,97.1,IV,0.48,21.4,0,521.4156,499.6899,564.8669
Zone_A,2025-06-20 20:37:12.259652,1.6631,2235.09,161.734,0.0007,227.8379,555.7427,1319.0515,90.4,IV,0.49,25.0,0,194.0808,185.9941,210.2542
Zone_B,2025-07-22 01:37:12.259652,1.4531,2452.9628,393.8171,0.0081,250.0472,600.2896,1355.1437,97.1,IV,0.48,21.4,0,472.5805,452.8897,511.9622
Zone_C,2025-10-03 10:37:12.259652,1.0787,1940.7701,922.57,0.0026,197.8359,214.8563,987.031,123.0,II,0.19,15.8,0,1107.084,1060.9555,1199.341
Zone_C,2025-07-01 12:37:12.259652,4.9709,2402.6574,237.0408,0.0163,244.9192,588.6012,1429.4348,123.0,II,0.19,15.8,0,284.449,272.5969,308.153
Zone_A,2025-08-15 05:37:12.259652,6.0535,2359.1334,559.4259,0.0049,240.4825,585.9021,1310.0334,90.4,IV,0.49,25.0,0,671.3111,643.3398,727.2536
Zone_B,2025-08-02 17:37:12.259652,5.4766,2397.8373,478.0978,0.0031,244.4279,562.7615,1348.0111,97.1,IV,0.48,21.4,0,573.7173,549.8124,621.5271
Zone_A,2025-05-20 17:37:12.259652,0.0,416.3763,47.9679,0.0173,42.4441,102.2842,240.9648,90.4,IV,0.49,25.0,0,57.5614,55.1631,62.3582
Zone_A,2025-08-20 09:37:12.259652,6.2698,2349.4141,595.8899,0.0004,239.4918,572.6973,1314.2199,90.4,IV,0.49,25.0,0,715.0679,685.2734,774.6569
Zone_C,2025-07-07 20:37:12.259652,2.2301,2422.0909,283.6125,0.035,246.9002,587.0457,1353.4789,123.0,II,0.19,15.8,0,340.335,326.1544,368.6963
Zone_D,2025-08-27 06:37:12.259652,6.6458,2385.4882,658.5778,0.0073,243.169,550.6728,1320.0907,158.4,II,0.22,18.0,0,790.2934,757.3645,856.1512
Zone_D,2025-04-12 20:37:12.259652,0.0,276.0329,3.2005,0.002,28.1379,97.3656,149.1653,158.4,II,0.22,18.0,0,3.8406,3.6805,4.1606
Zone_C,2025-09-18 23:37:12.259652,23.9392,2386.2082,819.2144,0.0003,243.2424,544.2242,1285.5122,123.0,II,0.19,15.8,0,983.0573,942.0966,1064.9788
Zone_C,2025-07-11 13:37:12.259652,5.9137,2405.8372,310.8895,0.0013,245.2433,569.2279,1374.2748,123.0,II,0.19,15.8,0,373.0674,357.523,404.1564
Zone_D,2025-04-30 19:37:12.259652,3.1509,448.518,23.3253,0.0,45.7205,127.7323,287.3538,158.4,II,0.22,18.0,0,27.9903,26.8241,30.3228
Zone_C,2025-06-21 15:37:12.259652,16.4398,2227.7336,168.0031,0.0034,227.088,554.5129,1323.7971,123.0,II,0.19,15.8,0,201.6037,193.2036,218.4041
Zone_A,2025-08-12 07:37:12.259652,12.5399,2325.7347,538.8994,0.0043,237.078,554.1762,1303.9146,90.4,IV,0.49,25.0,0,646.6792,619.7343,700.5692
Zone_D,2025-09-03 08:37:12.259652,5.0139,2302.208,707.74,0.0006,234.6797,565.9716,1234.1742,158.4,II,0.22,18.0,0,849.288,813.901,920.062
Zone_C,2025-04-17 06:37:12.259652,2.1931,344.4541,6.7255,0.0001,35.1125,130.831,251.3204,123.0,II,0.19,15.8,0,8.0706,7.7343,8.7431
Zone_B,2025-05-02 22:37:12.259652,0.0,401.2078,26.2798,0.0021,40.8978,88.6208,219.0159,97.1,IV,0.48,21.4,0,31.5357,30.2217,34.1637
Zone_D,2025-07-14 15:37:12.259652,6.4651,2409.7952,336.0659,0.0015,245.6468,579.4223,1350.1676,158.4,II,0.22,18.0,0,403.279,386.4757,436.8856
Zone_A,2025-06-02 20:37:12.259652,0.0,824.5975,65.5566,0.0058,84.0568,414.5388,535.6696,90.4,IV,0.49,25.0,0,78.6679,75.39,85.2235
Zone_D,2025-05-21 05:37:12.259652,0.552,423.8152,49.8243,0.0236,43.2024,106.1994,245.9418,158.4,II,0.22,18.0,0,59.7891,57.2979,64.7716
Zone_A,2025-09-06 10:37:12.259652,8.6335,2434.9709,720.6005,0.001,248.2131,559.7124,1390.0812,90.4,IV,0.49,25.0,0,864.7206,828.6906,936.7807
Zone_A,2025-05-27 10:37:12.259652,2.2855,411.3631,56.4406,0.0016,41.933,91.3573,231.8015,90.4,IV,0.49,25.0,0,67.7287,64.9067,73.3728
Zone_C,2025-08-22 00:37:12.259652,7.5789,2567.4804,612.8445,0.0014,261.7207,666.4504,1462.5734,123.0,II,0.19,15.8,0,735.4134,704.7712,796.6978
Zone_D,2025-06-10 04:37:12.259652,6.1794,1758.2308,97.8029,0.0024,179.2284,556.4649,1360.7128,158.4,II,0.22,18.0,0,117.3634,112.4733,127.1437
Zone_B,2025-07-23 03:37:12.259652,2.3273,2436.2985,401.7956,0.0033,248.3485,549.9692,1368.6697,97.1,IV,0.48,21.4,0,482.1547,462.0649,522.3342
Zone_B,2025-06-07 12:37:12.259652,11.1086,1558.9612,83.8337,0.0012,158.9155,634.9817,1326.0185,97.1,IV,0.48,21.4,0,100.6004,96.4087,108.9838
Zone_C,2025-09-01 09:37:12.259652,1.6013,2466.074,690.6509,0.0114,251.3837,581.4902,1381.9338,123.0,II,0.19,15.8,0,828.781,794.2485,897.8461
Zone_B,2025-05-16 17:37:12.259652,0.9631,448.7763,43.4983,0.0002,45.7468,133.4585,268.006,97.1,IV,0.48,21.4,0,52.198,50.0231,56.5479
Zone_D,2025-06-08 11:37:12.259652,1.687,1649.9194,88.9871,0.0141,168.1875,615.9393,1384.8511,158.4,II,0.22,18.0,0,106.7845,102.3351,115.6832
Zone_D,2025-05-11 22:37:12.259652,5.1229,410.1002,38.107,0.0036,41.8043,87.6118,218.0278,158.4,II,0.22,18.0,0,45.7284,43.8231,49.5391
Zone_B,2025-08-01 08:37:12.259652,1.3718,2363.1282,468.1895,0.01,240.8897,548.7742,1331.128,97.1,IV,0.48,21.4,0,561.8274,538.4179,608.6464
Zone_D,2025-05-04 01:37:12.259652,0.0,446.7616,27.841,0.0066,45.5414,108.205,281.7625,158.4,II,0.22,18.0,0,33.4091,32.0171,36.1932
Zone_A,2025-09-05 04:37:12.259652,10.6401,2449.4195,711.4016,0.0027,249.686,613.4982,1384.4364,90.4,IV,0.49,25.0,0,853.6819,818.1118,924.822
Zone_B,2025-05-17 12:37:12.259652,0.0,436.9688,44.5704,0.0094,44.5432,119.8625,261.9472,97.1,IV,0.48,21.4,0,53.4845,51.2559,57.9415
Zone_A,2025-07-06 07:37:12.259652,2.9328,2376.5313,267.982,0.0002,242.256,597.2868,1361.3955,90.4,IV,0.49,25.0,0,321.5784,308.1793,348.3766
Zone_A,2025-05-21 09:37:12.259652,2.2177,412.0885,48.8025,0.0092,42.007,95.2111,237.0977,90.4,IV,0.49,25.0,0,58.563,56.1229,63.4432
Zone_A,2025-04-22 02:37:12.259652,1.72,376.7584,13.3958,0.0012,38.4055,99.5023,232.0709,90.4,IV,0.49,25.0,0,16.075,15.4052,17.4146
Zone_A,2025-06-02 02:37:12.259652,9.8743,691.1447,63.8167,0.0067,70.4531,299.6093,423.921,90.4,IV,0.49,25.0,0,76.58,73.3892,82.9617
Zone_C,2025-08-31 06:37:12.259652,0.0,2500.9403,682.1851,0.0009,254.9378,617.6975,1416.1177,123.0,II,0.19,15.8,0,818.6221,784.5128,886.8406
Zone_D,2025-06-27 11:37:12.259652,6.4973,2358.3695,211.0838,0.0012,240.4046,555.1909,1363.1136,158.4,II,0.22,18.0,0,253.3006,242.7464,274.409
Zone_B,2025-05-06 04:37:12.259652,2.0044,404.1707,30.3046,0.0001,41.1999,96.3119,226.4109,97.1,IV,0.48,21.4,0,36.3656,34.8503,39.396
Zone_B,2025-06-14 04:37:12.259652,7.2689,2173.087,122.0601,0.0004,221.5175,647.2026,1488.249,97.1,IV,0.48,21.4,0,146.4722,140.3692,158.6782
Zone_C,2025-05-20 04:37:12.259652,2.9342,419.7544,44.4748,0.0001,42.7884,106.1226,257.4046,123.0,II,0.19,15.8,0,53.3698,51.146,57.8173
Zone_D,2025-09-30 15:37:12.259652,12.99,2430.152,899.1487,0.0001,247.7219,606.3571,1383.9471,158.4,II,0.22,18.0,0,1078.9785,1034.0211,1168.8934
Zone_C,2025-07-09 10:37:12.259652,17.8176,2429.4975,295.1851,0.0032,247.6552,580.1676,1345.9696,123.0,II,0.19,15.8,0,354.2221,339.4629,383.7407
Zone_B,2025-07-08 09:37:12.259652,14.5677,2502.6836,292.9803,0.0002,255.1156,625.948,1435.3238,97.1,IV,0.48,21.4,0,351.5764,336.9274,380.8744
Zone_A,2025-05-10 00:37:12.259652,1.0213,384.3099,34.7888,0.0001,39.1753,71.0635,211.7687,90.4,IV,0.49,25.0,0,41.7465,40.0071,45.2254
Zone_C,2025-08-02 23:37:12.259652,5.959,2409.7181,471.689,0.0084,245.639,599.2465,1363.4281,123.0,II,0.19,15.8,0,566.0268,542.4424,613.1957
Zone_C,2025-08-30 01:37:12.259652,4.5463,2483.0352,673.0618,0.0001,253.1127,607.6862,1337.6907,123.0,II,0.19,15.8,0,807.6742,774.0211,874.9804
Zone_A,2025-07-19 18:37:12.259652,0.4344,2445.4063,367.6366,0.0014,249.2769,579.5717,1360.0655,90.4,IV,0.49,25.0,0,441.1639,422.7821,477.9275
Zone_B,2025-08-28 03:37:12.259652,9.771,2509.2356,667.729,0.0,255.7834,593.3554,1444.7647,97.1,IV,0.48,21.4,0,801.2748,767.8883,868.0477
